5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 2 Flow (Veh/5 Minutes),Flow (Veh/5 Minutes),# Lane Points,% Observed
10/12/2021 3:55,0,0,0,2,100
10/12/2021 4:00,3,1,4,2,100
10/12/2021 4:05,1,1,2,2,100
10/12/2021 4:10,0,3,3,2,100
10/12/2021 4:15,0,1,1,2,100
10/12/2021 4:20,1,2,3,2,100
10/12/2021 4:25,0,4,4,2,100
10/12/2021 4:30,0,3,3,2,100
10/12/2021 4:35,1,4,5,2,100
10/12/2021 4:40,4,4,8,2,100
10/12/2021 4:45,1,4,5,2,100
10/12/2021 4:50,5,4,9,2,100
10/12/2021 4:55,0,2,2,2,100
10/12/2021 5:00,2,2,4,2,100
10/12/2021 5:05,0,4,4,2,100
10/12/2021 5:10,1,3,4,2,100
10/12/2021 5:15,0,4,4,2,100
10/12/2021 5:20,0,4,4,2,100
10/12/2021 5:25,0,11,11,2,100
10/12/2021 5:30,1,5,6,2,100
10/12/2021 5:35,2,6,8,2,100
10/12/2021 5:40,3,7,10,2,100
10/12/2021 5:45,3,7,10,2,100
10/12/2021 5:50,4,10,14,2,100
10/12/2021 5:55,3,14,17,2,100
10/12/2021 6:00,3,13,16,2,100
10/12/2021 6:05,5,10,15,2,100
10/12/2021 6:10,3,8,11,2,100
10/12/2021 6:15,5,15,20,2,100
10/12/2021 6:20,8,11,19,2,100
10/12/2021 6:25,5,13,18,2,100
10/12/2021 6:30,4,9,13,2,100
10/12/2021 6:35,5,18,23,2,100
10/12/2021 6:40,4,19,23,2,100
10/12/2021 6:45,5,20,25,2,100
10/12/2021 6:50,11,28,39,2,100
10/12/2021 6:55,6,23,29,2,100
10/12/2021 7:00,10,27,37,2,100
10/12/2021 7:05,12,24,36,2,100
10/12/2021 7:10,10,23,33,2,100
10/12/2021 7:15,9,33,42,2,100
10/12/2021 7:20,11,41,52,2,100
10/12/2021 7:25,14,49,63,2,100
10/12/2021 7:30,16,42,58,2,100
10/12/2021 7:35,11,47,58,2,100
10/12/2021 7:40,10,49,59,2,100
10/12/2021 7:45,5,49,54,2,100
10/12/2021 7:50,11,53,64,2,100
10/12/2021 7:55,16,54,70,2,100
10/12/2021 8:00,21,59,80,2,100
10/12/2021 8:05,16,49,65,2,100
10/12/2021 8:10,10,57,67,2,100
10/12/2021 8:15,7,42,49,2,100
10/12/2021 8:20,10,53,63,2,100
10/12/2021 8:25,16,42,58,2,100
10/12/2021 8:30,13,51,64,2,100
10/12/2021 8:35,13,40,53,2,100
10/12/2021 8:40,14,40,54,2,100
10/12/2021 8:45,10,46,56,2,100
10/12/2021 8:50,25,38,63,2,100
10/12/2021 8:55,19,44,63,2,100
10/12/2021 9:00,8,37,45,2,100
10/12/2021 9:05,14,39,53,2,100
10/12/2021 9:10,13,29,42,2,100
10/12/2021 9:15,10,41,51,2,100
10/12/2021 9:20,16,43,59,2,100
10/12/2021 9:25,8,35,43,2,100
10/12/2021 9:30,9,22,31,2,100
10/12/2021 9:35,13,33,46,2,100
10/12/2021 9:40,10,38,48,2,100
10/12/2021 9:45,7,31,38,2,100
10/12/2021 9:50,9,35,44,2,100
10/12/2021 9:55,8,30,38,2,100
10/12/2021 10:00,9,48,57,2,100
10/12/2021 10:05,13,47,60,2,100
10/12/2021 10:10,9,31,40,2,100
10/12/2021 10:15,10,39,49,2,100
10/12/2021 10:20,15,44,59,2,100
10/12/2021 10:25,15,34,49,2,100
10/12/2021 10:30,21,33,54,2,100
10/12/2021 10:35,6,42,48,2,100
10/12/2021 10:40,13,45,58,2,100
10/12/2021 10:45,13,37,50,2,100
10/12/2021 10:50,16,54,70,2,100
10/12/2021 10:55,14,38,52,2,100
10/12/2021 11:00,9,29,38,2,100
10/12/2021 11:05,14,40,54,2,100
10/12/2021 11:10,10,46,56,2,100
10/12/2021 11:15,12,49,61,2,100
10/12/2021 11:20,12,35,47,2,100
10/12/2021 11:25,12,36,48,2,100
10/12/2021 11:30,10,41,51,2,100
10/12/2021 11:35,10,47,57,2,100
10/12/2021 11:40,11,37,48,2,100
10/12/2021 11:45,14,52,66,2,100
10/12/2021 11:50,13,43,56,2,100
10/12/2021 11:55,8,55,63,2,100
10/12/2021 12:00,12,53,65,2,100
10/12/2021 12:05,19,37,56,2,100
10/12/2021 12:10,17,29,46,2,100
10/12/2021 12:15,20,51,71,2,100
10/12/2021 12:20,12,40,52,2,100
10/12/2021 12:25,21,48,69,2,100
10/12/2021 12:30,14,36,50,2,100
10/12/2021 12:35,9,46,55,2,100
10/12/2021 12:40,15,48,63,2,100
10/12/2021 12:45,10,38,48,2,100
10/12/2021 12:50,23,40,63,2,100
10/12/2021 12:55,13,28,41,2,100
10/12/2021 13:00,10,49,59,2,100
10/12/2021 13:05,13,43,56,2,100
10/12/2021 13:10,15,39,54,2,100
10/12/2021 13:15,16,48,64,2,100
10/12/2021 13:20,15,52,67,2,100
10/12/2021 13:25,16,44,60,2,100
10/12/2021 13:30,17,33,50,2,100
10/12/2021 13:35,12,43,55,2,100
10/12/2021 13:40,16,46,62,2,100
10/12/2021 13:45,19,44,63,2,100
10/12/2021 13:50,19,32,51,2,100
10/12/2021 13:55,14,47,61,2,100
10/12/2021 14:00,18,37,55,2,100
10/12/2021 14:05,17,46,63,2,100
10/12/2021 14:10,16,40,56,2,100
10/12/2021 14:15,12,42,54,2,100
10/12/2021 14:20,13,55,68,2,100
10/12/2021 14:25,15,53,68,2,100
10/12/2021 14:30,14,44,58,2,100
10/12/2021 14:35,11,44,55,2,100
10/12/2021 14:40,16,45,61,2,100
10/12/2021 14:45,22,56,78,2,100
10/12/2021 14:50,21,71,92,2,100
10/12/2021 14:55,18,72,90,2,100
10/12/2021 15:00,14,54,68,2,100
10/12/2021 15:05,15,53,68,2,100
10/12/2021 15:10,8,47,55,2,100
10/12/2021 15:15,19,60,79,2,100
10/12/2021 15:20,15,69,84,2,100
10/12/2021 15:25,23,54,77,2,100
10/12/2021 15:30,17,69,86,2,100
10/12/2021 15:35,16,67,83,2,100
10/12/2021 15:40,24,64,88,2,100
10/12/2021 15:45,16,67,83,2,100
10/12/2021 15:50,18,70,88,2,100
10/12/2021 15:55,5,63,68,2,100
10/12/2021 16:00,26,59,85,2,100
10/12/2021 16:05,15,52,67,2,100
10/12/2021 16:10,16,61,77,2,100
10/12/2021 16:15,16,53,69,2,100
10/12/2021 16:20,12,53,65,2,100
10/12/2021 16:25,26,65,91,2,100
10/12/2021 16:30,22,64,86,2,100
10/12/2021 16:35,24,67,91,2,100
10/12/2021 16:40,22,79,101,2,100
10/12/2021 16:45,11,76,87,2,100
10/12/2021 16:50,17,67,84,2,100
10/12/2021 16:55,16,79,95,2,100
10/12/2021 17:00,20,70,90,2,100
10/12/2021 17:05,19,72,91,2,100
10/12/2021 17:10,17,70,87,2,100
10/12/2021 17:15,16,54,70,2,100
10/12/2021 17:20,12,59,71,2,100
10/12/2021 17:25,12,53,65,2,100
10/12/2021 17:30,20,64,84,2,100
10/12/2021 17:35,22,68,90,2,100
10/12/2021 17:40,26,90,116,2,100
10/12/2021 17:45,20,41,61,2,100
10/12/2021 17:50,19,67,86,2,100
10/12/2021 17:55,30,71,101,2,100
10/12/2021 18:00,20,54,74,2,100
10/12/2021 18:05,16,45,61,2,100
10/12/2021 18:10,18,57,75,2,100
10/12/2021 18:15,16,72,88,2,100
10/12/2021 18:20,24,44,68,2,100
10/12/2021 18:25,12,56,68,2,100
10/12/2021 18:30,13,56,69,2,100
10/12/2021 18:35,22,62,84,2,100
10/12/2021 18:40,20,53,73,2,100
10/12/2021 18:45,15,37,52,2,100
10/12/2021 18:50,14,37,51,2,100
10/12/2021 18:55,16,50,66,2,100
10/12/2021 19:00,15,51,66,2,100
10/12/2021 19:05,16,52,68,2,100
10/12/2021 19:10,16,44,60,2,100
10/12/2021 19:15,23,48,71,2,100
10/12/2021 19:20,9,32,41,2,100
10/12/2021 19:25,10,46,56,2,100
10/12/2021 19:30,7,44,51,2,100
10/12/2021 19:35,16,39,55,2,100
10/12/2021 19:40,15,27,42,2,100
10/12/2021 19:45,18,38,56,2,100
10/12/2021 19:50,10,23,33,2,100
10/12/2021 19:55,4,23,27,2,100
10/12/2021 20:00,9,24,33,2,100
10/12/2021 20:05,10,26,36,2,100
10/12/2021 20:10,15,37,52,2,100
10/12/2021 20:15,12,34,46,2,100
10/12/2021 20:20,9,27,36,2,100
10/12/2021 20:25,6,37,43,2,100
10/12/2021 20:30,12,31,43,2,100
10/12/2021 20:35,12,30,42,2,100
10/12/2021 20:40,14,23,37,2,100
10/12/2021 20:45,7,29,36,2,100
10/12/2021 20:50,11,25,36,2,100
10/12/2021 20:55,9,21,30,2,100
10/12/2021 21:00,15,20,35,2,100
10/12/2021 21:05,7,16,23,2,100
10/12/2021 21:10,8,33,41,2,100
10/12/2021 21:15,6,29,35,2,100
10/12/2021 21:20,10,29,39,2,100
10/12/2021 21:25,10,24,34,2,100
10/12/2021 21:30,3,19,22,2,100
10/12/2021 21:35,9,29,38,2,100
10/12/2021 21:40,7,16,23,2,100
10/12/2021 21:45,9,20,29,2,100
10/12/2021 21:50,5,23,28,2,100
10/12/2021 21:55,5,16,21,2,100
10/12/2021 22:00,9,14,23,2,100
10/12/2021 22:05,8,25,33,2,100
10/12/2021 22:10,5,13,18,2,100
10/12/2021 22:15,12,18,30,2,100
10/12/2021 22:20,3,18,21,2,100
10/12/2021 22:25,5,12,17,2,100
10/12/2021 22:30,5,14,19,2,100
10/12/2021 22:35,5,10,15,2,100
10/12/2021 22:40,4,8,12,2,100
10/12/2021 22:45,6,12,18,2,100
10/12/2021 22:50,8,10,18,2,100
10/12/2021 22:55,9,13,22,2,100
10/12/2021 23:00,4,14,18,2,100
10/12/2021 23:05,4,13,17,2,100
10/12/2021 23:10,2,8,10,2,100
10/12/2021 23:15,7,16,23,2,100
10/12/2021 23:20,3,13,16,2,100
10/12/2021 23:25,1,4,5,2,100
10/12/2021 23:30,5,9,14,2,100
10/12/2021 23:35,1,4,5,2,100
10/12/2021 23:40,4,8,12,2,100
10/12/2021 23:45,5,11,16,2,100
10/12/2021 23:50,4,1,5,2,100
10/12/2021 23:55,2,5,7,2,100
10/13/2021 0:00,3,5,8,2,100
10/13/2021 0:05,2,3,5,2,100
10/13/2021 0:10,3,3,6,2,100
10/13/2021 0:15,2,4,6,2,100
10/13/2021 0:20,1,4,5,2,100
10/13/2021 0:25,1,0,1,2,100
10/13/2021 0:30,1,1,2,2,100
10/13/2021 0:35,0,2,2,2,100
10/13/2021 0:40,3,7,10,2,100
10/13/2021 0:45,0,0,0,2,100
10/13/2021 0:50,1,2,3,2,100
10/13/2021 0:55,1,3,4,2,100
10/13/2021 1:00,1,3,4,2,100
10/13/2021 1:05,1,2,3,2,100
10/13/2021 1:10,0,5,5,2,100
10/13/2021 1:15,0,2,2,2,100
10/13/2021 1:20,0,2,2,2,100
10/13/2021 1:25,0,2,2,2,100
10/13/2021 1:30,2,4,6,2,100
10/13/2021 1:35,3,3,6,2,100
10/13/2021 1:40,2,4,6,2,100
10/13/2021 1:45,1,5,6,2,100
10/13/2021 1:50,1,4,5,2,100
10/13/2021 1:55,1,1,2,2,100
10/13/2021 2:00,0,3,3,2,100
10/13/2021 2:05,0,2,2,2,100
10/13/2021 2:10,0,4,4,2,100
10/13/2021 2:15,1,3,4,2,100
10/13/2021 2:20,0,1,1,2,100
10/13/2021 2:25,0,2,2,2,100
10/13/2021 2:30,2,5,7,2,100
10/13/2021 2:35,0,1,1,2,100
10/13/2021 2:40,1,8,9,2,100
10/13/2021 2:45,0,0,0,2,100
10/13/2021 2:50,0,4,4,2,100
10/13/2021 2:55,1,3,4,2,100
10/13/2021 3:00,2,1,3,2,100
10/13/2021 3:05,0,5,5,2,100
10/13/2021 3:10,1,0,1,2,100
10/13/2021 3:15,2,2,4,2,100
10/13/2021 3:20,0,1,1,2,100
10/13/2021 3:25,2,0,2,2,100
10/13/2021 3:30,2,1,3,2,100
10/13/2021 3:35,0,1,1,2,100
10/13/2021 3:40,1,0,1,2,100
10/13/2021 3:45,1,0,1,2,100
10/13/2021 3:50,0,0,0,2,100
10/13/2021 3:55,1,9,10,2,100
10/13/2021 4:00,1,0,1,2,100
10/13/2021 4:05,1,2,3,2,100
10/13/2021 4:10,1,2,3,2,100
10/13/2021 4:15,0,1,1,2,100
10/13/2021 4:20,1,0,1,2,100
10/13/2021 4:25,0,2,2,2,100
10/13/2021 4:30,0,1,1,2,100
10/13/2021 4:35,2,3,5,2,100
10/13/2021 4:40,3,3,6,2,100
10/13/2021 4:45,2,6,8,2,100
10/13/2021 4:50,6,3,9,2,100
10/13/2021 4:55,1,1,2,2,100
10/13/2021 5:00,1,2,3,2,100
10/13/2021 5:05,0,2,2,2,100
10/13/2021 5:10,1,2,3,2,100
10/13/2021 5:15,1,6,7,2,100
10/13/2021 5:20,1,11,12,2,100
10/13/2021 5:25,2,8,10,2,100
10/13/2021 5:30,1,8,9,2,100
10/13/2021 5:35,2,5,7,2,100
10/13/2021 5:40,0,6,6,2,100
10/13/2021 5:45,3,12,15,2,100
10/13/2021 5:50,6,12,18,2,100
10/13/2021 5:55,3,10,13,2,100
10/13/2021 6:00,5,10,15,2,100
10/13/2021 6:05,4,10,14,2,100
10/13/2021 6:10,2,10,12,2,100
10/13/2021 6:15,6,12,18,2,100
10/13/2021 6:20,5,10,15,2,100
10/13/2021 6:25,5,11,16,2,100
10/13/2021 6:30,6,18,24,2,100
10/13/2021 6:35,5,14,19,2,100
10/13/2021 6:40,1,17,18,2,100
10/13/2021 6:45,3,27,30,2,100
10/13/2021 6:50,5,29,34,2,100
10/13/2021 6:55,9,34,43,2,100
10/13/2021 7:00,6,30,36,2,100
10/13/2021 7:05,4,22,26,2,100
10/13/2021 7:10,6,28,34,2,100
10/13/2021 7:15,8,29,37,2,100
10/13/2021 7:20,19,38,57,2,100
10/13/2021 7:25,7,37,44,2,100
10/13/2021 7:30,6,30,36,2,100
10/13/2021 7:35,11,27,38,2,100
10/13/2021 7:40,17,50,67,2,100
10/13/2021 7:45,19,53,72,2,100
10/13/2021 7:50,21,64,85,2,100
10/13/2021 7:55,10,64,74,2,100
10/13/2021 8:00,14,57,71,2,100
10/13/2021 8:05,15,49,64,2,100
10/13/2021 8:10,18,67,85,2,100
10/13/2021 8:15,11,60,71,2,100
10/13/2021 8:20,21,56,77,2,100
10/13/2021 8:25,12,49,61,2,100
10/13/2021 8:30,9,40,49,2,100
10/13/2021 8:35,13,58,71,2,100
10/13/2021 8:40,18,50,68,2,100
10/13/2021 8:45,12,58,70,2,100
10/13/2021 8:50,18,37,55,2,100
10/13/2021 8:55,11,50,61,2,100
10/13/2021 9:00,13,53,66,2,100
10/13/2021 9:05,11,36,47,2,100
10/13/2021 9:10,10,38,48,2,100
10/13/2021 9:15,10,42,52,2,100
10/13/2021 9:20,11,31,42,2,100
10/13/2021 9:25,13,26,39,2,100
10/13/2021 9:30,3,39,42,2,100
10/13/2021 9:35,16,27,43,2,100
10/13/2021 9:40,7,38,45,2,100
10/13/2021 9:45,20,36,56,2,100
10/13/2021 9:50,14,34,48,2,100
10/13/2021 9:55,18,59,77,2,100
10/13/2021 10:00,14,33,47,2,100
10/13/2021 10:05,16,37,53,2,100
10/13/2021 10:10,18,41,59,2,100
10/13/2021 10:15,9,38,47,2,100
10/13/2021 10:20,12,29,41,2,100
10/13/2021 10:25,18,39,57,2,100
10/13/2021 10:30,12,41,53,2,100
10/13/2021 10:35,13,33,46,2,100
10/13/2021 10:40,20,50,70,2,100
10/13/2021 10:45,11,36,47,2,100
10/13/2021 10:50,16,43,59,2,100
10/13/2021 10:55,7,51,58,2,100
10/13/2021 11:00,15,42,57,2,100
10/13/2021 11:05,9,27,36,2,100
10/13/2021 11:10,14,37,51,2,100
10/13/2021 11:15,10,40,50,2,100
10/13/2021 11:20,14,46,60,2,100
10/13/2021 11:25,12,32,44,2,100
10/13/2021 11:30,10,37,47,2,100
10/13/2021 11:35,14,51,65,2,100
10/13/2021 11:40,10,50,60,2,100
10/13/2021 11:45,14,32,46,2,100
10/13/2021 11:50,17,60,77,2,100
10/13/2021 11:55,13,47,60,2,100
10/13/2021 12:00,14,35,49,2,100
10/13/2021 12:05,11,39,50,2,100
10/13/2021 12:10,13,48,61,2,100
10/13/2021 12:15,16,37,53,2,100
10/13/2021 12:20,15,55,70,2,100
10/13/2021 12:25,12,57,69,2,100
10/13/2021 12:30,25,33,58,2,100
10/13/2021 12:35,8,48,56,2,100
10/13/2021 12:40,14,38,52,2,100
10/13/2021 12:45,21,74,95,2,100
10/13/2021 12:50,19,63,82,2,100
10/13/2021 12:55,16,54,70,2,100
10/13/2021 13:00,17,49,66,2,100
10/13/2021 13:05,16,52,68,2,100
10/13/2021 13:10,21,63,84,2,100
10/13/2021 13:15,10,47,57,2,100
10/13/2021 13:20,17,44,61,2,100
10/13/2021 13:25,15,45,60,2,100
10/13/2021 13:30,13,60,73,2,100
10/13/2021 13:35,13,56,69,2,100
10/13/2021 13:40,19,71,90,2,100
10/13/2021 13:45,15,58,73,2,100
10/13/2021 13:50,13,48,61,2,100
10/13/2021 13:55,5,40,45,2,100
10/13/2021 14:00,14,55,69,2,100
10/13/2021 14:05,12,52,64,2,100
10/13/2021 14:10,17,61,78,2,100
10/13/2021 14:15,12,66,78,2,100
10/13/2021 14:20,16,53,69,2,100
10/13/2021 14:25,12,52,64,2,100
10/13/2021 14:30,17,44,61,2,100
10/13/2021 14:35,17,57,74,2,100
10/13/2021 14:40,11,47,58,2,100
10/13/2021 14:45,19,54,73,2,100
10/13/2021 14:50,21,64,85,2,100
10/13/2021 14:55,22,46,68,2,100
10/13/2021 15:00,15,55,70,2,100
10/13/2021 15:05,11,55,66,2,100
10/13/2021 15:10,13,43,56,2,100
10/13/2021 15:15,14,55,69,2,100
10/13/2021 15:20,21,59,80,2,100
10/13/2021 15:25,19,63,82,2,100
10/13/2021 15:30,18,70,88,2,100
10/13/2021 15:35,17,46,63,2,100
10/13/2021 15:40,23,71,94,2,100
10/13/2021 15:45,21,64,85,2,100
10/13/2021 15:50,25,72,97,2,100
10/13/2021 15:55,21,75,96,2,100
10/13/2021 16:00,23,65,88,2,100
10/13/2021 16:05,21,70,91,2,100
10/13/2021 16:10,17,55,72,2,100
10/13/2021 16:15,27,57,84,2,100
10/13/2021 16:20,22,67,89,2,100
10/13/2021 16:25,13,46,59,2,100
10/13/2021 16:30,18,47,65,2,100
10/13/2021 16:35,17,39,56,2,100
10/13/2021 16:40,17,74,91,2,100
10/13/2021 16:45,17,63,80,2,100
10/13/2021 16:50,17,58,75,2,100
10/13/2021 16:55,20,54,74,2,100
10/13/2021 17:00,15,52,67,2,100
10/13/2021 17:05,12,55,67,2,100
10/13/2021 17:10,16,49,65,2,100
10/13/2021 17:15,24,52,76,2,100
10/13/2021 17:20,12,50,62,2,100
10/13/2021 17:25,18,61,79,2,100
10/13/2021 17:30,12,52,64,2,100
10/13/2021 17:35,13,49,62,2,100
10/13/2021 17:40,18,61,79,2,100
10/13/2021 17:45,27,68,95,2,100
10/13/2021 17:50,25,70,95,2,100
10/13/2021 17:55,19,54,73,2,100
10/13/2021 18:00,14,61,75,2,100
10/13/2021 18:05,16,67,83,2,100
10/13/2021 18:10,18,50,68,2,100
10/13/2021 18:15,12,41,53,2,100
10/13/2021 18:20,14,53,67,2,100
10/13/2021 18:25,15,60,75,2,100
10/13/2021 18:30,18,40,58,2,100
10/13/2021 18:35,18,52,70,2,100
10/13/2021 18:40,17,51,68,2,100
10/13/2021 18:45,21,66,87,2,100
10/13/2021 18:50,14,52,66,2,100
10/13/2021 18:55,19,47,66,2,100
10/13/2021 19:00,13,50,63,2,100
10/13/2021 19:05,20,60,80,2,100
10/13/2021 19:10,18,44,62,2,100
10/13/2021 19:15,12,48,60,2,100
10/13/2021 19:20,17,36,53,2,100
10/13/2021 19:25,22,49,71,2,100
10/13/2021 19:30,13,47,60,2,100
10/13/2021 19:35,14,38,52,2,100
10/13/2021 19:40,11,42,53,2,100
10/13/2021 19:45,12,33,45,2,100
10/13/2021 19:50,16,35,51,2,100
10/13/2021 19:55,17,30,47,2,100
10/13/2021 20:00,15,33,48,2,100
10/13/2021 20:05,6,31,37,2,100
10/13/2021 20:10,9,31,40,2,100
10/13/2021 20:15,12,32,44,2,100
10/13/2021 20:20,13,30,43,2,100
10/13/2021 20:25,10,17,27,2,100
10/13/2021 20:30,13,24,37,2,100
10/13/2021 20:35,11,20,31,2,100
10/13/2021 20:40,14,20,34,2,100
10/13/2021 20:45,6,37,43,2,100
10/13/2021 20:50,13,24,37,2,100
10/13/2021 20:55,11,18,29,2,100
10/13/2021 21:00,12,31,43,2,100
10/13/2021 21:05,13,32,45,2,100
10/13/2021 21:10,2,20,22,2,100
10/13/2021 21:15,7,21,28,2,100
10/13/2021 21:20,15,17,32,2,100
10/13/2021 21:25,12,22,34,2,100
10/13/2021 21:30,12,27,39,2,100
10/13/2021 21:35,10,18,28,2,100
10/13/2021 21:40,6,21,27,2,100
10/13/2021 21:45,5,11,16,2,100
10/13/2021 21:50,12,23,35,2,100
10/13/2021 21:55,17,27,44,2,100
10/13/2021 22:00,7,14,21,2,100
10/13/2021 22:05,6,21,27,2,100
10/13/2021 22:10,6,15,21,2,100
10/13/2021 22:15,7,14,21,2,100
10/13/2021 22:20,7,10,17,2,100
10/13/2021 22:25,12,16,28,2,100
10/13/2021 22:30,6,13,19,2,100
10/13/2021 22:35,7,16,23,2,100
10/13/2021 22:40,5,14,19,2,100
10/13/2021 22:45,4,11,15,2,100
10/13/2021 22:50,4,22,26,2,100
10/13/2021 22:55,9,9,18,2,100
10/13/2021 23:00,6,9,15,2,100
10/13/2021 23:05,5,9,14,2,100
10/13/2021 23:10,4,10,14,2,100
10/13/2021 23:15,1,10,11,2,100
10/13/2021 23:20,2,11,13,2,100
10/13/2021 23:25,3,7,10,2,100
10/13/2021 23:30,4,10,14,2,100
10/13/2021 23:35,4,2,6,2,100
10/13/2021 23:40,4,0,4,2,100
10/13/2021 23:45,4,8,12,2,100
10/13/2021 23:50,3,7,10,2,100
10/13/2021 23:55,2,4,6,2,100
10/14/2021 0:00,7,3,10,2,100
10/14/2021 0:05,1,3,4,2,100
10/14/2021 0:10,4,12,16,2,100
10/14/2021 0:15,0,8,8,2,100
10/14/2021 0:20,0,4,4,2,100
10/14/2021 0:25,3,3,6,2,100
10/14/2021 0:30,3,5,8,2,100
10/14/2021 0:35,2,3,5,2,100
10/14/2021 0:40,4,3,7,2,100
10/14/2021 0:45,2,3,5,2,100
10/14/2021 0:50,1,3,4,2,100
10/14/2021 0:55,2,4,6,2,100
10/14/2021 1:00,0,3,3,2,100
10/14/2021 1:05,0,3,3,2,100
10/14/2021 1:10,1,3,4,2,100
10/14/2021 1:15,0,3,3,2,100
10/14/2021 1:20,1,3,4,2,100
10/14/2021 1:25,1,1,2,2,100
10/14/2021 1:30,1,3,4,2,100
10/14/2021 1:35,0,4,4,2,100
10/14/2021 1:40,0,14,14,2,100
10/14/2021 1:45,1,4,5,2,100
10/14/2021 1:50,2,2,4,2,100
10/14/2021 1:55,0,2,2,2,100
10/14/2021 2:00,0,2,2,2,100
10/14/2021 2:05,0,0,0,2,100
10/14/2021 2:10,0,3,3,2,100
10/14/2021 2:15,2,1,3,2,100
10/14/2021 2:20,2,0,2,2,100
10/14/2021 2:25,1,3,4,2,100
10/14/2021 2:30,1,3,4,2,100
10/14/2021 2:35,1,0,1,2,100
10/14/2021 2:40,0,2,2,2,100
10/14/2021 2:45,1,6,7,2,100
10/14/2021 2:50,2,3,5,2,100
10/14/2021 2:55,1,1,2,2,100
10/14/2021 3:00,2,1,3,2,100
10/14/2021 3:05,0,1,1,2,100
10/14/2021 3:10,1,0,1,2,100
10/14/2021 3:15,1,1,2,2,100
10/14/2021 3:20,0,1,1,2,100
10/14/2021 3:25,1,2,3,2,100
10/14/2021 3:30,0,4,4,2,100
10/14/2021 3:35,1,2,3,2,100
10/14/2021 3:40,1,1,2,2,100
10/14/2021 3:45,1,0,1,2,100
10/14/2021 3:50,0,4,4,2,100
10/14/2021 3:55,1,2,3,2,100
10/14/2021 4:00,0,2,2,2,100
10/14/2021 4:05,2,1,3,2,100
10/14/2021 4:10,1,0,1,2,100
10/14/2021 4:15,0,1,1,2,100
10/14/2021 4:20,1,4,5,2,100
10/14/2021 4:25,0,1,1,2,100
10/14/2021 4:30,3,1,4,2,100
10/14/2021 4:35,2,2,4,2,100
10/14/2021 4:40,0,3,3,2,100
10/14/2021 4:45,2,3,5,2,100
10/14/2021 4:50,4,4,8,2,100
10/14/2021 4:55,2,8,10,2,100
10/14/2021 5:00,1,2,3,2,100
10/14/2021 5:05,2,2,4,2,100
10/14/2021 5:10,2,1,3,2,100
10/14/2021 5:15,0,5,5,2,100
10/14/2021 5:20,1,5,6,2,100
10/14/2021 5:25,2,5,7,2,100
10/14/2021 5:30,1,4,5,2,100
10/14/2021 5:35,3,5,8,2,100
10/14/2021 5:40,0,7,7,2,100
10/14/2021 5:45,0,0,0,2,0
10/14/2021 5:50,0,0,0,2,0
10/14/2021 5:55,0,0,0,2,0
10/14/2021 6:00,0,10,10,2,100
10/14/2021 6:05,6,12,18,2,100
10/14/2021 6:10,2,12,14,2,100
10/14/2021 6:15,2,18,20,2,100
10/14/2021 6:20,4,18,22,2,100
10/14/2021 6:25,5,8,13,2,100
10/14/2021 6:30,4,16,20,2,100
10/14/2021 6:35,7,14,21,2,100
10/14/2021 6:40,6,16,22,2,100
10/14/2021 6:45,4,23,27,2,100
10/14/2021 6:50,9,28,37,2,100
